area,avg_pre2015_emissions,group
七台河,28774.0,control
三亚,2.8,control
三明,77690.6,control
三沙,65810.0,control
三门峡,246530.8,control
上海,349224.8,control
上饶,83450.4,control
东莞,271286.0,control
东营,354516.6,control
中卫,59511.8,control
中山,28164.2,control
临汾,365317.2,control
临沂,242744.4,control
临沧,28032.8,control
丹东,56860.0,control
丽水,28830.2,control
丽江,7215.2,control
乌兰察布,548932.6,treated
乌海,244458.6,control
乌鲁木齐,198931.0,control
乐山,69464.6,control
九江,216672.6,control
云浮,45601.8,control
亳州,15627.8,control
伊春,17176.2,control
佛山,195278.2,control
佳木斯,19180.8,control
保定,212570.0,control
保山,15784.6,control
信阳,104721.2,control
儋州,102995.0,control
克拉玛依,120246.0,control
六安,19785.0,control
六盘水,523479.6,treated
兰州,169798.8,control
内江,180255.2,control
包头,715690.0,treated
北京,152204.0,control
北海,37208.6,control
十堰,27031.8,control
南京,496793.2,treated
南充,10122.2,control
南宁,93478.8,control
南平,21056.4,control
南昌,76162.0,control
南通,233818.6,control
南阳,154356.0,control
厦门,52194.0,control
双鸭山,40585.0,control
台州,202239.4,control
合肥,105041.2,control
吉安,103787.6,control
吉林,116998.8,control
吐鲁番,122243.0,control
吕梁,215938.8,control
吴忠,230627.2,control
周口,22957.2,control
呼伦贝尔,110252.0,control
呼和浩特,390936.8,control
咸宁,63362.6,control
咸阳,180216.6,control
哈密,144177.0,control
哈尔滨,127467.8,control
唐山,704617.4,treated
商丘,89523.2,control
商洛,82589.2,control
嘉兴,187305.6,control
嘉峪关,80810.8,control
四平,76855.4,control
固原,37542.4,control
大同,434332.8,treated
大庆,68357.8,control
大连,223274.2,control
天水,21022.0,control
天津,659104.6,treated
太原,358671.2,control
威海,72819.6,control
娄底,134235.8,control
孝感,99707.6,control
宁德,70374.0,control
宁波,863686.8,treated
安庆,89845.2,control
安康,11539.6,control
安阳,313258.2,control
安顺,171036.2,control
定西,7700.6,control
宜宾,325660.2,control
宜昌,350846.0,control
宜春,155384.0,control
宝鸡,212942.4,control
宣城,27223.8,control
宿州,62678.4,control
宿迁,40042.0,control
山南,38114.0,control
岳阳,141778.0,control
崇左,9550.8,control
