area,add_secondary_pre2015,group
七台河,618635.46772,control
三亚,252166.12355999998,control
三明,2367737.70528,control
三沙,259400.0,control
三门峡,2537778.58812,control
上海,37206081.1456,treated
上饶,1984416.1897999998,control
东莞,9495034.6985,treated
东营,8332123.999600001,treated
中卫,431250.4514,control
中山,4984151.38158,control
临汾,2552653.43208,control
临沂,5784322.6536,control
临沧,509721.26084,control
丹东,1715848.2068,control
丽水,1487464.23468,control
丽江,296693.475,control
乌兰察布,1530038.3403999999,control
乌海,1119073.4568,control
乌鲁木齐,2751770.94436,control
乐山,2125692.4722,control
九江,2711491.94264,control
云浮,1075921.7452,control
亳州,926625.23096,control
伊春,444416.77880000003,control
佛山,15355209.02604,treated
佳木斯,674743.5116,control
保定,5475736.899479999,control
保山,401565.81564000004,control
信阳,2073993.9353200002,control
儋州,294993.945,control
克拉玛依,2790330.60292,control
六安,1369732.2236199998,control
六盘水,1482946.45928,control
兰州,2934793.6642400003,control
内江,1943844.90496,control
包头,5682254.89736,control
北京,17558517.35992,treated
北海,974689.17956,control
十堰,1893737.74572,control
南京,11749648.527880002,treated
南充,1814752.97016,control
南宁,3143684.6042799996,control
南平,1595717.9164399998,control
南昌,5854889.55964,control
南通,8916753.31264,treated
南阳,4866084.97856,control
厦门,5307269.29624,control
双鸭山,757150.26536,control
台州,6466068.23192,control
合肥,6621201.89928,control
吉安,1569049.98536,control
吉林,4068122.2827600003,control
吐鲁番,1570672.847,control
吕梁,2667736.17204,control
吴忠,630372.51044,control
周口,2652381.42324,control
呼伦贝尔,1832732.2544800001,control
呼和浩特,2923051.73432,control
咸宁,1165298.2110600001,control
咸阳,2842522.5051200003,control
哈密,3223407.2590000005,control
哈尔滨,6635933.20064,control
唐山,12156736.49016,treated
商丘,2314080.86116,control
商洛,655646.0162,control
嘉兴,6595572.5156,control
嘉峪关,633853.18472,control
四平,1542244.48976,control
固原,159368.08583999999,control
大同,1869923.26764,control
大庆,12427576.293680001,treated
大连,12515141.27832,treated
天水,622098.56036,control
天津,23086107.1728,treated
太原,4055463.77296,control
威海,5775250.418919999,control
娄底,1759717.6722799998,control
孝感,1953695.4234,control
宁德,1622521.21484,control
宁波,13816919.516280001,treated
安庆,2462818.65716,control
安康,699546.62784,control
安阳,3448760.26384,control
安顺,473006.00416,control
定西,243858.28100000002,control
宜宾,2413196.3400999997,control
宜昌,4772178.96576,control
宜春,2098832.1138,control
宝鸡,2910558.76444,control
宣城,1440673.83644,control
宿州,1178974.9607600002,control
宿迁,2316318.3714,control
山南,932680.32,control
岳阳,3954422.45168,control
崇左,726347.103,control
巢湖,792556.84842,control
巴中,463195.77524,control
巴彦淖尔,1501812.44496,control
常州,8083960.4524,treated
常德,3368416.01524,control
平凉,518030.29288,control
平顶山,3621204.7962,control
广元,682816.58236,control
广安,1342000.87408,control
广州,19965189.71508,treated
庆阳,1104443.73508,control
廊坊,3698141.23852,control
延安,2827003.9636000004,control
开封,1948858.01112,control
张家口,2066862.73796,control
张家界,309513.23192,control
张掖,380584.8764,control
徐州,7099077.453279999,control
德州,4356889.11376,control
德阳,2725907.65596,control
忻州,932155.81264,control
怀化,1382221.72328,control
惠州,5098002.0372399995,control
成都,12975794.503039999,treated
扬州,6017900.02564,control
承德,2159756.38376,control
抚州,1522048.14032,control
抚顺,2688722.57884,control
拉萨,445800.22458,control
揭阳,3264952.1712799994,control
攀枝花,1967985.86864,control
新乡,3310347.16376,control
新余,1530996.0956000001,control
无锡,15684733.217360001,treated
日喀则,951417.569,control
日照,2471550.94232,control
昆明,5254392.25812,control
昌都,910393.52,control
昭通,844644.23106,control
晋中,1770018.70536,control
晋城,2158410.23148,control
普洱,407247.91504,control
景德镇,1273968.9563199999,control
曲靖,2539147.59608,control
更多数据，尽在“马克数据网”,104500.0,control
朔州,1644780.67808,control
朝阳,1368318.905,control
本溪,2353412.3374400004,control
来宾,846416.1826000001,control
杭州,14295437.330839999,treated
松原,2424216.8992,control
林芝,610240.68,control
枣庄,3781062.32668,control
柳州,3646350.2068800004,control
株洲,3551962.05244,control
桂林,2409592.45848,control
梅州,1240719.03124,control
梧州,1575618.81898,control
榆林,4705874.87924,control
武威,479109.28758,control
