year,regionalism code,area,Regional Gross Domestic Product (RMB 10000),Value added of the primary industry (10000 yuan),Value added of the secondary industry (10000 yuan),Value added of the tertiary industry (10000 yuan),The proportion of added value of the primary industry to GDP (%),The proportion of added value of the secondary industry to GDP (%),The proportion of added value of the tertiary industry to GDP (%),Per capita regional GDP (yuan),Registered residence population (10000),Urban registered residence Population (10000),Non agricultural population (10000 people),Annual average population (10000 people),Total number of households at the end of the year (10000 households),Birth population (person),Death toll (person),Natural growth rate (‰),Permanent population (),Urban permanent population (10000 people),Number of employees in the unit at the end of the year (10000 people),Number of urban private and individual employees (person),Number of registered unemployed persons in urban areas at the end of the year (person),Number of employees in the primary industry (10000 people),Number of employees in the secondary industry (10000 people),Number of employees in the tertiary industry (10000 people),Proportion of employees in the primary industry (%),Proportion of employees in the secondary industry (%),Proportion of employees in the tertiary industry (%),"Number of employees in agriculture, forestry, animal husbandry, and fisheries (10000 people)",Number of employees in the mining industry (in 10000),Number of manufacturing employees (in 10000),"Number of employees in the electricity, gas, and water production and supply industry (in 10000 people)",Number of employees in the construction industry (in 10000),"Number of employees in the transportation, warehousing, postal and telecommunications industry (10000 people)","Number of employees in the information transmission, computer services, and software industries (in 10000)",Number of employees in wholesale and retail trade industry (10000 people),Number of employees in the accommodation and catering industry (10000 people),Number of employees in the financial industry (in 10000),Number of employees in the real estate industry (10000 people),Number of employees in the leasing and commercial service industry (in 10000),"Number of employees in scientific research, technical services, and geological exploration industry (in 10000)","Number of employees in the water conservancy, environmental and public facility management industry (in 10000)",Number of employees in residential services and other service industries (in 10000),Number of employees in the education industry (in 10000),"Number of employees in the health, social insurance, and social welfare industries (in 10000)","Number of employees in the cultural, sports, and entertainment industries (in 10000)",Number of employees in public administration and social organizations (in 10000),Number of employees in geological exploration and water conservancy management industry (10000 people),"Number of employees in the transportation, warehousing, postal and telecommunications industry (10000 people).1","Number of employees in wholesale, retail, and catering industry (in 10000)",Number of employees in the social service industry (in 10000),"Number of employees in the health, sports, and social welfare industries (in 10000)","Number of employees in the education, arts, broadcasting, film and television industry (10000 people)",Number of employees in the scientific research and comprehensive technology service industry (10000 people),Number of employees in government agencies and social organizations (in 10000),Average number of employees on duty (10000 people),Total wages of on-the-job employees (10000 yuan),Average salary of employees (yuan),Administrative area land area (square kilometers),Total cultivated land resources at the end of the year (thousand hectares),Per capita cultivated land area (mu),Population density (person/square kilometer),Total amount of water resources (10000 cubic meters),Regional GDP growth rate (%),Grain production (10000 tons),Oil production (10000 tons),Cotton production (10000 tons),Vegetable yield (ton),Fruit production (ton),Meat production (ton),Milk production (ton),Production of aquatic products (tons),Egg production (ton),Number of industrial enterprises above designated size (units),Number of domestic enterprises,"Number of Hong Kong, Macao, and Taiwanese investment enterprises (units)",Number of foreign-invested enterprises,"Gross output value of industrial enterprises above designated size (current year price, in 10000 yuan)",Gross industrial output value of domestic enterprises (RMB 10000),"Total industrial output value of Hong Kong, Macao, and Taiwan invested enterprises (in 10000 yuan)",Gross industrial output value of foreign-invested enterprises (RMB 10000),Annual average number of employees (in 10000),Product sales revenue (RMB 10000),Total profit and tax amount (10000 yuan),Value added tax payable this year (RMB 10000),Total profit (10000 yuan),Annual average balance of current assets (RMB 10000),Annual average balance of net fixed assets (RMB 10000),Total current assets (RMB 10000),Total fixed assets (RMB 10000),Main business taxes and surcharges (RMB 10000),Total investment in fixed assets investment (10000 yuan),Completed investment in real estate development (RMB 10000),Completed investment in residential development (10000 yuan),Total retail sales of consumer goods in society (10000 yuan),Total sales of wholesale and retail trade products above the quota (in 10000 yuan),Number of wholesale and retail trading enterprises above the quota (units),Number of newly signed projects in that year,The foreign investment amount of the contract in that year (in 10000 US dollars),The actual amount of foreign investment used in that year (in 10000 US dollars),Import amount of goods (10000 yuan),Export value of goods (10000 yuan),Revenue within the general budget of local finance (10000 yuan),Industrial and commercial tax revenue (10000 yuan),Expenditure within the general budget of local finance (10000 yuan),Science expenditure (10000 yuan),Education expenditure (10000 yuan),Year end balance of various loans from financial institutions (RMB 10000),Year-end deposit balance of financial institutions (RMB 10000),Year end balance of savings for urban and rural residents (10000 yuan),Number of regular higher education institutions,Number of ordinary secondary schools,Number of primary schools,Number of secondary vocational education schools,Number of full-time teachers in regular higher education institutions (person),Number of full-time teachers in ordinary high schools (person),Number of full-time primary school teachers (person),Number of full-time teachers in secondary vocational education schools (person),Number of students enrolled in regular higher education institutions (person),Number of regular undergraduate and junior college students (person),Number of students in regular high schools (in 10000),Number of primary school students (in 10000),Number of high school students in school (person),Number of students enrolled in secondary vocational and technical schools (person),Number of students enrolled in adult higher education institutions (person),Number of college students per 10000 people,Number of secondary vocational students per 10000 students in school (person),R&D personnel (person),Internal R&D expenditure (RMB 10000),Number of patent applications (pieces),Number of patent authorizations (pieces),Number of authorized invention patents (pieces),Public Library (s),Number of theaters and cinemas,"Total collection of books in public libraries (thousand volumes, pieces)","Public library collections per 100 people (books, items)",Number of museums,Number of sports venues,Number of health institutions,Number of hospitals and health centers,Number of beds in hospitals and health centers (in sheets),Number of doctors (person),Total passenger volume (10000 people),Railway passenger volume (10000 people),Highway passenger volume (10000 people),Passenger volume of water transportation (10000 people),Civil aviation passenger volume (person),Total freight volume (10000 tons),Railway freight volume (10000 tons),Highway freight volume (10000 tons),Water freight volume (10000 tons),Civil aviation cargo and mail volume (ton),Number of post offices at the end of the year,Total amount of postal services (10000 yuan),Total amount of telecommunications services (10000 yuan),Number of local telephone users at the end of the year (in 10000 households),Number of mobile phone users at the end of the year (in 10000 households),Number of Internet users,Annual electricity consumption (10000 kWh),Industrial electricity consumption (10000 kWh),Urban residential electricity consumption (10000 kWh),Total mileage of domestic highways (kilometers),Highway mileage (kilometers),Industrial wastewater discharge volume (10000 tons),Industrial wastewater discharge reaches the standard (10000 tons),Industrial sulfur dioxide removal capacity (ton),Industrial sulfur dioxide emissions (tons),Industrial smoke and dust removal capacity (ton),Industrial smoke and dust emissions (ton),Industrial sulfur dioxide production (ton),Industrial smoke and dust removal capacity (ton).1,Industrial smoke and dust emissions (ton).1,Industrial nitrogen oxide emissions (tons),Domestic sewage treatment rate (%),Harmless treatment rate of household waste (%),Comprehensive utilization rate of industrial solid waste (%),Comprehensive utilization rate of general industrial solid waste (%),Centralized treatment rate of sewage treatment plant (%),Annual average concentration of inhalable fine particulate matter (micrograms/cubic meter),Insurance coverage amount (10000 yuan),Number of urban employees participating in basic pension insurance (person),Number of participants in urban basic medical insurance (person),Number of people participating in unemployment insurance (person),Number of social work institutions providing accommodation,Number of elderly care institutions,Number of beds in social work institutions providing accommodation (in sheets),Number of beds in elderly care institutions (sheets),Industrial sulfur dioxide production (ton)_predicted
2019,150300,乌海,5510000.0,51794.0,3425567.0,2032088.0,0.94,62.17,36.88,97565.0,44.0,40,61.27,56.0,16,3702.0,2035.0,3.77,56,53,8.429,196800.0,8408.0,0.016,3.886,4.527,0.19,46.11,53.7,0.016,1.365,1.179,0.644,0.698,0.246,0.16,0.227,0.028,0.835,0.125,0.099,0.135,0.059,0.013,0.766,0.513,0.044,1.277,0,0,0.0,1,0,1,0,1,8.0,662636.0,85776.0,1754.0,870.0,5.0,50.0,23224.0,9.5,140.05,4.23,0.02,1229835.0,12416.0,203894.0,329717.0,2034.0,13100.0,134.0,132.0,1.0,1.0,545742.0,522755.0,22125.0,862.0,3.0,393404.0,48061.0,297624.0,606997.0,198212.0,557807.0,6838500.0,3974850.0,233546.0,1041000.0,25814.0,18148.0,1617024.0,1618915.0,112.0,4.0,16406.0,1474.0,6000.0,52000.0,464824.0,3628,1029679.0,8888.0,123395.0,6664040,8458921.0,4790029.0,1.0,22.0,24.0,1.0,260.0,2288.0,2034.0,184.0,7976.0,5915.0,2.0,3.0,50110.0,1748.0,420.0,66.0,69,533.0,25709.0,561.0,234.0,111.0,12.0,12.0,760.0,7.0,3.0,7.0,400.0,27.0,3089.0,1629.0,1006.0,140.0,73.0,27.0,520000.0,2101.0,142.0,7573.0,28.0,720.0,140.0,14311.0,54587.0,21.0,79.0,220000.0,2244744.0,2003434,31666.0,1171,111,723.0,667.0,349.0,15273.0,3180.0,9966.0,805000.0,2581756.0,26707.0,20513.0,40.0,100.0,30.0,57.0,98.3,35.5,693293.0,188002.0,201409.0,86641.0,9,9,1882,1882,264509.66
2018,150300,乌海,4959360.0,50089.536,3071827.584,1837442.88,1.01,61.94,37.05,88041.0,44.0,40,61.27,56.0,17,4244.0,2181.0,4.67,56,53,7.988,261100.0,8625.0,0.009,4.194,3.785,0.12,52.5,47.38,0.009,0.283,2.707,0.619,0.586,0.302,0.158,0.172,0.028,0.372,0.149,0.086,0.138,0.175,0.007,0.678,0.387,0.052,1.08,0,0,0.0,1,0,1,0,1,8.0,604218.0,75504.0,1754.0,870.0,5.0,50.0,20300.0,13.0,3.62,0.09,0.02,1229835.0,12416.0,14200.0,2200.0,2034.0,4100.0,126.0,123.0,1.0,2.0,545742.0,522755.0,22125.0,862.0,3.0,393404.0,48061.0,267990.5,765493.0,198212.0,557807.0,6216431.0,3964664.5,185037.75,1041000.0,296527.0,251128.0,1550321.0,1240825.0,128.0,2.5,16406.0,1317.0,2800.0,71300.0,407958.0,3628,1090389.0,10096.0,112997.0,5775876,8166617.0,4047839.0,1.0,21.0,24.0,1.0,247.0,2221.0,2064.0,131.0,7976.0,5191.0,2.0,3.0,50110.0,1898.0,420.0,66.0,69,1060.0,40614.0,319.0,233.0,17.0,12.0,12.0,710.0,7.0,3.0,6.0,400.0,28.0,3080.0,1544.0,1006.0,140.0,77.0,27.0,480000.0,2101.0,142.0,7224.0,28.0,700.0,140.0,14184.0,59615.0,21.0,84.0,200000.0,2015720.0,1862709,34078.0,1171,111,842.0,667.0,349.0,22029.0,3180.0,9966.0,805000.0,2581756.0,28969.0,18435.0,40.0,100.0,30.0,57.0,98.1,39.0,693293.0,185235.0,195861.0,84000.0,9,9,1882,1882,256879.95
2017,150300,乌海,5340810.5,49364.377,3154741.429,2136704.694,0.9299999999999999,59.26,39.81,95383.0,44.0,40,61.27,56.0,21,5300.0,2600.0,6.14,56,53,8.294,256000.0,8625.0,0.015,4.123,4.156,0.18,49.71,50.11,0.015,0.124,2.302,0.68,1.018,0.332,0.14,0.159,0.028,0.379,0.268,0.107,0.154,0.28,0.007,0.715,0.384,0.072,1.131,0,0,0.0,1,0,1,0,1,9.0,607776.0,67658.0,1754.0,870.0,5.0,50.0,17376.0,9.9,3.99,0.12,0.02,1229835.0,12416.0,14250.0,2150.0,2034.0,3650.0,144.0,142.0,1.0,2.0,545742.0,522755.0,22125.0,862.0,3.0,393404.0,48061.0,238357.0,382170.0,198212.0,557807.0,4858215.0,3954479.0,136529.5,1041000.0,204816.0,110578.0,1618385.0,1036234.0,139.0,1.0,16406.0,1291.0,2800.0,71300.0,724234.0,3628,903911.0,7506.0,106873.0,6127794,7966962.0,3580311.0,1.0,15.0,24.0,1.0,243.0,2211.0,2124.0,154.0,7976.0,5030.0,2.0,3.0,50110.0,2537.0,420.0,66.0,69,945.0,39085.0,267.0,141.0,14.0,12.0,12.0,710.0,7.0,3.0,6.0,400.0,27.0,3087.0,1536.0,1006.0,140.0,99.0,27.0,450000.0,2101.0,142.0,5956.0,28.0,600.0,140.0,12379.0,61747.0,21.0,85.0,170000.0,1764744.0,1686604,34651.0,1171,111,994.0,667.0,349.0,39260.0,3180.0,9966.0,805000.0,2581756.0,43221.0,20850.0,40.0,99.0,30.0,67.38,97.5,44.0,693293.0,180398.0,221073.0,90065.0,9,9,1882,1882,228515.8
2016,150300,乌海,5722261.0,48639.218,3237655.274,2435966.508,0.85,56.58,42.57,102725.0,44.0,40,61.27,56.0,21,5300.0,2600.0,6.07,56,53,9.311,239986.0,8412.0,0.016,5.472,3.824,0.17,58.77,41.06,0.016,0.07,3.036,0.595,1.772,0.26,0.142,0.124,0.025,0.377,0.284,0.061,0.133,0.32,0.008,0.672,0.338,0.054,1.028,0,0,0.0,1,0,1,0,1,9.0,552935.0,58301.0,1669.0,870.0,5.0,50.0,16004.0,6.8,4.16,0.22,0.02,1229835.0,12416.0,14300.0,2100.0,2034.0,3200.0,149.0,146.0,1.0,2.0,9840100.0,9720767.0,7074.0,112259.0,3.0,393404.0,48061.0,208723.5,160327.0,198212.0,557807.0,5401156.0,4266126.0,88021.25,1651212.0,220991.0,169239.0,1519317.0,1114085.0,141.0,1.0,16406.0,200.0,2800.0,71300.0,815552.0,3628,1333233.0,17931.0,142619.0,5338880,7027901.0,3493129.0,1.0,15.0,24.0,1.0,220.0,1388.0,2137.0,178.0,4806.0,5030.0,1.0,3.0,50110.0,9732.0,420.0,66.0,69,945.0,39085.0,267.0,141.0,14.0,12.0,12.0,698.0,7.0,3.0,6.0,400.0,28.0,3203.0,1646.0,1006.0,140.0,111.0,27.0,340000.0,2101.0,142.0,5580.0,28.0,1000.0,37.0,10428.0,61037.0,21.0,81.0,140000.0,1764744.0,1686604,34651.0,1171,111,1201.0,667.0,349.0,40393.0,3180.0,9966.0,316730.0,3852099.0,46407.0,20850.0,40.0,98.65,30.0,61.245,96.5,44.0,693293.0,180316.0,221623.0,90000.0,9,9,1882,1882,237443.2
2015,150300,乌海,5598322.0,47585.737,3191603.372,2359692.723,0.85,57.01,42.15,100871.0,44.49,40,61.27,55.5,21,5300.0,2600.0,3.43,56,53,9.498,225620.0,7613.0,0.016,5.738,3.744,0.17,60.41,39.42,0.016,0.08,3.375,0.599,1.683,0.26,0.142,0.135,0.029,0.379,0.175,0.062,0.14,0.329,0.008,0.67,0.341,0.051,1.024,0,0,0.0,1,0,1,0,1,11.0,518060.0,55577.0,1669.0,870.0,5.0,264.0,16004.0,7.5,4.1,0.17,0.02,1229835.0,12416.0,13900.0,2100.0,2034.0,3300.0,147.0,144.0,1.0,2.0,9273914.0,9170707.0,51145.0,52062.0,3.0,393404.0,48061.0,179090.0,-136298.0,198212.0,557807.0,6426931.0,5145299.0,39513.0,3986441.0,370117.0,212694.0,1390583.0,1341268.0,128.0,3.5,16406.0,805.0,2800.0,71300.0,804757.0,3628,1062908.0,19522.0,121031.0,5538095,6740311.0,3263396.0,1.0,21.0,25.0,1.0,228.0,2259.0,2184.0,187.0,3536.0,5030.0,2.49,2.96,50110.0,4221.0,420.0,79.0,95,945.0,39085.0,267.0,141.0,14.0,12.0,12.0,600.0,135.0,3.0,6.0,400.0,28.0,3083.0,1694.0,1006.0,140.0,174.0,27.0,380000.0,2101.0,142.0,6409.0,28.0,1385.0,37.0,8671.0,62685.0,24.0,76.0,130000.0,1764744.0,1686604,34651.0,1171,111,1252.0,667.0,349.0,80594.0,3180.0,9966.0,308784.0,4293383.0,57359.0,20850.0,40.0,96.0,30.0,55.11,95.47,44.0,693293.0,109047.0,217964.0,92400.0,9,9,1882,1882,245371.75
2014,150300,乌海,6010187.0,47480.477,3810458.558,2152247.965,0.79,63.4,35.81,108556.0,55.4,40,61.27,55.4,21,5300.0,2600.0,4.9,56,53,9.978,205800.0,7686.0,0.017,6.158,3.803,0.17,61.71,38.12,0.017,2.423,1.084,0.632,2.019,0.237,0.143,0.137,0.037,0.387,0.119,0.095,0.141,0.349,0.008,0.691,0.368,0.049,1.042,0,0,0.0,1,0,1,0,1,12.0,646235.0,54123.53,1754.0,870.0,5.0,316.0,16004.0,8.8,4.1,0.16,0.02,1229835.0,12416.0,13900.0,2000.0,2034.0,3300.0,154.0,151.0,3.0,2.0,7398107.0,7353164.0,2114.0,42829.0,3.0,393404.0,48061.0,282271.0,506185.0,198212.0,557807.0,6923010.0,8170897.0,51448.0,3522030.0,487262.0,267266.0,1270207.0,1783376.0,132.0,6.0,16406.0,5800.0,2800.0,71300.0,751617.0,3628,947811.0,14979.0,99189.0,5400922,6004330.0,3220947.0,1.0,23.0,25.0,1.0,219.0,2581.0,2243.0,166.0,2821.0,5030.0,3.64,3.01,10935.0,5596.0,4230.0,51.0,101,945.0,39085.0,267.0,141.0,14.0,12.0,5.0,596.0,107.0,3.0,6.0,400.0,331.0,3551.0,1620.0,428.0,188.0,194.0,27.0,460000.0,8109.0,2358.0,5751.0,28.0,1330.0,37.0,4419.0,70636.0,16.0,90.0,110000.0,1764744.0,1686604,34651.0,1171,111,1389.0,667.0,349.0,104786.0,3180.0,9966.0,337824.0,5433227.0,65754.0,20850.0,40.0,90.71,30.0,49.15,94.57,44.0,693293.0,176168.0,464182.0,96000.0,9,9,1882,1882,
2013,150300,乌海,5701293.0,51881.766,3759432.604,1889978.629,0.91,65.94,33.15,103660.0,55.3,40,61.27,55.1,21,5300.0,2600.0,7.2,56,53,10.4,123617.0,8290.0,0.02,6.42,3.93,0.19,61.91,37.9,0.02,2.6,1.17,0.61,2.04,0.24,0.15,0.16,0.05,0.4,0.2,0.06,0.15,0.35,0.01,0.74,0.37,0.07,0.98,0,0,0.0,1,0,1,0,1,13.0,702752.0,53198.49,1754.0,870.0,5.0,315.0,16004.0,1.34,4.1,0.15,0.02,71400.0,11200.0,13400.0,1900.0,470.0,3300.0,154.0,151.0,1.0,2.0,7170064.0,7129656.0,2063.0,38345.0,3.0,393404.0,48061.0,338528.0,716034.0,198212.0,557807.0,5741997.0,4172061.0,65444.0,4169700.0,478631.0,327950.0,1137267.0,1561547.0,120.0,6.0,16406.0,12000.0,2800.0,71300.0,685207.0,3628,907362.0,24220.0,85753.0,4749800,5873300.0,2990500.0,1.0,18.0,27.0,1.0,260.0,866.0,1959.0,166.0,3054.0,5030.0,1.52,3.03,11221.0,4618.0,4204.0,203.0,84,945.0,39085.0,267.0,141.0,14.0,4.0,5.0,659.0,120.0,3.0,6.0,333.0,333.0,3862.0,1661.0,547.0,177.0,323.0,27.0,470000.0,12170.0,2082.0,10088.0,28.0,1275.0,37.0,4734.0,32400.0,13.0,105.0,200000.0,1764744.0,1686604,34651.0,1171,111,852.0,667.0,349.0,112317.0,3180.0,9966.0,330461.0,4076554.0,42433.0,20850.0,40.0,86.1,30.0,61.33,93.2,44.0,693293.0,162613.0,213465.0,98000.0,9,9,1882,1882,
2012,150300,乌海,5625710.0,48381.106,4132083.995,1445244.899,0.86,73.45,25.69,103242.0,54.8,40,61.27,54.5,21,5300.0,2600.0,3.6,56,53,10.3,102400.0,9010.0,0.04,6.58,3.66,0.19,64.01,35.8,0.04,2.55,1.59,0.61,1.83,0.24,0.16,0.11,0.03,0.38,0.11,0.07,0.11,0.35,0.01,0.7,0.34,0.08,0.97,0,0,0.0,1,0,1,0,1,10.0,515743.0,51471.36,1754.0,870.0,5.0,313.0,16004.0,14.0,3.8,0.21,0.02,68000.0,11000.0,14000.0,3000.0,410.0,3300.0,153.0,150.0,1.0,2.0,6585080.0,6579900.0,2100.0,3080.0,3.0,393404.0,48061.0,332800.0,238200.0,198212.0,557807.0,4985600.0,4067000.0,73800.0,3400704.0,463456.0,282044.0,1005611.0,1142691.0,98.0,6.0,16406.0,8976.0,2800.0,71300.0,543972.0,3628,935607.0,10680.0,89897.0,3811900,5599500.0,2601700.0,1.0,17.0,29.0,1.0,788.0,1196.0,2344.0,186.0,3539.0,5030.0,1.58,3.06,11285.0,4560.0,3539.0,65.0,83,945.0,39085.0,267.0,141.0,14.0,3.0,2.0,524.0,96.0,3.0,6.0,341.0,341.0,3556.0,1585.0,514.0,168.0,314.0,27.0,320000.0,10544.0,2070.0,8474.0,28.0,1220.0,37.0,4881.0,74800.0,16.0,112.0,90000.0,1764744.0,1686604,34651.0,1171,111,3024.0,667.0,349.0,112397.0,3180.0,9966.0,317454.0,5330661.0,39267.0,20850.0,40.0,85.4,30.0,59.28,92.6,44.0,693293.0,156065.0,246105.0,98000.0,9,9,1882,1882,
2011,150300,乌海,4832452.0,43492.068,3519474.792,1269485.14,0.9,72.83,26.27,89521.0,54.1,40,61.27,53.8,21,5300.0,2600.0,4.8,56,53,10.06,154476.0,11458.0,0.04,6.47,3.55,0.4,64.31,35.29,0.04,2.8,1.3,0.56,1.81,0.25,0.14,0.12,0.03,0.38,0.1,0.07,0.08,0.33,0.01,0.71,0.34,0.08,0.91,0,0,0.0,1,0,1,0,1,11.0,458190.0,42941.89,1754.0,870.0,5.0,309.0,16004.0,15.8,3.6,0.13,0.02,65800.0,11000.0,11000.0,5000.0,360.0,3000.0,155.0,152.0,1.0,2.0,7377206.0,7370273.0,4512.0,2421.0,3.0,393404.0,48061.0,327764.0,534577.0,198212.0,557807.0,3979428.0,3648869.0,84016.0,2869004.0,498305.0,418414.0,861223.0,1169156.0,80.0,5.25,16406.0,5952.0,2800.0,71300.0,366928.0,3628,781966.0,11108.0,82606.0,3253000,4945500.0,2168700.0,1.0,17.0,29.0,1.0,703.0,1176.0,2099.0,196.0,3590.0,5030.0,1.69,3.09,10492.0,3660.0,4256.0,66.0,68,945.0,39085.0,267.0,141.0,14.0,3.0,2.0,432.0,80.0,3.0,6.0,332.0,332.0,3093.0,1451.0,591.0,265.0,304.0,27.0,230000.0,9733.0,2999.0,6734.0,28.0,712.0,37.0,4150.0,59200.0,12.0,102.0,70000.0,1764744.0,1686604,34651.0,1171,111,6157.0,667.0,349.0,116624.0,3180.0,9966.0,118277.0,5330661.0,25831.0,20850.0,40.0,85.5,60.0,59.28,85.78,44.0,693293.0,148098.0,451301.0,105013.0,9,9,1882,1882,
2010,150300,乌海,3911235.0,37156.732,2805137.742,1068940.526,0.95,71.72,27.33,76653.0,53.0,40,61.27,50.5,21,5300.0,2600.0,5.54,56,53,9.52,150140.0,8200.0,0.05,6.16,3.31,0.53,64.71,34.77,0.05,2.8,1.3,0.48,1.58,0.23,0.13,0.13,0.02,0.32,0.1,0.06,0.09,0.28,0.01,0.7,0.3,0.07,0.87,0,0,0.0,1,0,1,0,1,10.0,380597.0,39853.09,1754.0,870.0,5.0,302.0,16004.0,19.7,3.5,0.2,0.02,97000.0,13400.0,12000.0,9000.0,350.0,3000.0,168.0,166.0,1.0,1.0,5453200.0,5443200.0,5200.0,4800.0,8.0,393404.0,48061.0,319700.0,914800.0,198212.0,557807.0,2432900.0,3427600.0,84016.0,2387231.0,248990.0,242374.0,716893.0,945667.0,52.0,4.5,16406.0,2923.0,2800.0,71300.0,336631.0,3628,635412.0,7768.0,74172.0,2798218,4119797.0,1922784.0,1.0,23.0,30.0,1.0,208.0,2083.0,2278.0,196.0,3975.0,5030.0,1.79,3.11,10874.0,3610.0,3870.0,75.0,68,945.0,39085.0,267.0,141.0,14.0,4.0,2.0,413.0,78.0,3.0,6.0,273.0,277.0,2897.0,1275.0,602.0,293.0,292.0,27.0,180900.0,7882.0,2901.0,4981.0,28.0,129.0,37.0,6100.0,59200.0,12.0,93.0,67000.0,1764744.0,1686604,34651.0,1171,111,4352.0,4328.0,13059.0,100000.0,1667838.0,19316.0,118277.0,5330661.0,25831.0,20850.0,90.0,81.53,69.0,59.28,85.78,44.0,693293.0,148098.0,451301.0,105013.0,9,9,1882,1882,
